corner,start,end,center,mds1,mds2
1,28104427,28108042,28106234,0.2754979889704222,-0.504326781729399
1,28084610,28088338,28086474,0.2731666067309571,-0.4907843719355681
1,28112238,28118399,28115318,0.2873523060302876,-0.48052863539231955
1,28074022,28077464,28075743,0.2603144871950524,-0.4635328737587142
1,28077466,28080897,28079181,0.240806206518385,-0.46032653424505715
1,28138136,28142113,28140124,0.3057058203415268,-0.4469924469996354
1,28092532,28096648,28094590,0.23285797245043202,-0.44889227261868536
1,28134580,28138134,28136357,0.29118445090034123,-0.4277580425011482
1,28126441,28130882,28128661,0.29848075429891047,-0.4264029359712119
1,28088339,28092524,28090431,0.20754910895224124,-0.4230894139886752
1,28122231,28126437,28124334,0.24196694370836538,-0.4002445941673396
1,28050779,28055659,28053219,0.1891866789165086,-0.42773578374376603
1,28142121,28146958,28144539,0.25815952699148115,-0.38394787574252703
1,28067015,28070513,28068764,0.20173036040343018,-0.40730837134189735
1,28174882,28179749,28177315,0.28239997435198094,-0.3686550331898159
1,28039291,28043020,28041155,0.1815894971551023,-0.40398415768270235
1,28151226,28155171,28153198,0.27462253167828937,-0.36237787210194905
1,28170635,28174881,28172758,0.2399059090597865,-0.36511640437294435
1,28179755,28198386,28189070,0.30081048987704057,-0.36192908100242
1,28046932,28050778,28048855,0.1917557349885593,-0.38536485967066014
1,28155174,28160493,28157833,0.26977115267705776,-0.3583583394469561
1,28070514,28074019,28072266,0.17792121588216023,-0.3768505745928705
1,28130888,28134578,28132733,0.230539316130735,-0.3478892076547011
1,28198387,28202506,28200446,0.29862355631047394,-0.33597777304761245
1,28202507,28206290,28204398,0.22350905591805778,-0.3376112292448655
1,28096652,28100434,28098543,0.2262124192666353,-0.333129315252761
1,28215445,28219357,28217401,0.30605496743708677,-0.32666646105291064
1,28100442,28104425,28102433,0.2260120735367733,-0.32849537485889696
1,28031772,28035497,28033634,0.14061873375170772,-0.368172910536052
1,28080898,28084606,28082752,0.1730440109636069,-0.34026656956509405
1,28160495,28164926,28162710,0.24804300496327797,-0.3068386209538792
1,28055660,28059715,28057687,0.14470681012398529,-0.3490679528576675
1,28118416,28122230,28120323,0.19431906721967898,-0.3122477074696605
1,28146959,28151225,28149092,0.18979866587298053,-0.314042618145489
1,28006331,28009704,28008017,0.1326951473731437,-0.3484616923449221
1,28210628,28215444,28213036,0.2539842223410658,-0.2937298601032794
1,28223197,28234133,28228665,0.2367862134803892,-0.28776841941719183
1,28108043,28112232,28110137,0.15978386576726755,-0.3138815876967438
1,28017171,28020777,28018974,0.1299336587172643,-0.3300358680812013
1,28244796,28251604,28248200,0.27464213181470265,-0.2768852127428763
1,28206292,28210627,28208459,0.22578244063660768,-0.27109233317295856
